Population,Sample,Bioproject,Biosample,Breed,Alias,Sex,Reference,SFS,Path
EUD,BK01M20,PRJEB9922,SAMEA3497828,Berkshire,BK01M20,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/BK01M20_Berkshire_rh.bam
EUD,BS01F10,PRJEB9922,SAMEA3497829,British_Saddleback,BS01F10,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/BS01F10_British_Saddle_rh.bam
EUD,BS01F35,PRJEB9922,SAMEA3497830,British_Saddleback,BS01F35,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/BS01F35_British_Saddleback_rh.bam
EUD,CA01F14,PRJEB9922,SAMEA3497831,Calabrese,CA01F14,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/CA01F14_Calabrese_rh.bam
EUD,CM01F17,PRJEB9922,SAMEA3497832,Chato_Murciano,CM01F17,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/CM01F17_Chato_Murciano_rh.bam
EUD,CM01F18,PRJEB9922,SAMEA3497833,Chato_Murciano,CM01F18,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/CM01F18_Chato_Murciano_rh.bam
EUD,CS01F02,PRJEB9922,SAMEA3497834,Cinta_Senese,CS01F02,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/CS01F02_Cinta_Senese_rh.bam
EUD,CT01F13,PRJEB9922,SAMEA3497835,Casertana,CT01F13,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/CT01F13_Cassertana_rh.bam
EUD,CT01M12,PRJEB9922,SAMEA3497836,Casertana,CT01M12,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/CT01M12_Cassertana_rh.bam
EUD,DU22M01,PRJEB9922,SAMEA3497837,Duroc,DU22M01,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/DU22M01_Duroc_rh.bam
EUD,DU22M02,PRJEB9922,SAMEA3497838,Duroc,DU22M02,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/DU22M02_Duroc_rh.bam
EUD,DU22M03,PRJEB30282,,Duroc,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/DU22M03_Duroc_rh.bam
EUD,DU23M01,PRJEB1683,SAMEA1557407,Duroc_2,DU23M01_Duroc,Male,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/DU23M01_Duroc_rh.bam
EUD,DU23M02,PRJEB1683,SAMEA1557419,Duroc_2,DU23M02_Duroc,Male,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/DU23M02_Duroc_rh.bam
EUD,DU23M03,PRJEB9922,SAMEA3497839,Duroc_2,DU23M03,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/DU23M03_Duroc_rh.bam
EUD,DU23M04,PRJEB9922,SAMEA3497840,Duroc_2,DU23M04,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/DU23M04_Duroc_rh.bam
EUD,GO01F04,PRJEB9922,SAMEA3497841,Gloucester_Old_Spot,GO01F04,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/GO01F04_Gl_Old_Spots_rh.bam
EUD,GO01F23,PRJEB9922,SAMEA3497842,Gloucester_Old_Spot,GO01F23,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/GO01F23_GloucesterOldSpot_rh.bam
EUD,HA20U01,PRJEB9922,SAMEA3497843,Hampshire,HA20U01,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/HA20U01_Hampshire_rh.bam
EUD,HA20U02,PRJEB9922,SAMEA3497844,Hampshire,HA20U02,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/HA20U02_Hampshire_rh.bam
EUD,HA20U04,PRJEB30282,,Hampshire,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/HA20U04_Hampshire_rh.bam
EUD,HA20U06,PRJEB30282,,Hampshire,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/HA20U06_Hampshire_rh.bam
EUD,LB01F49,PRJEB9922,SAMEA3497845,Large_Black,LB01F49,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/LB01F49_Large_Black_rh.bam
EUD,LE01F25,PRJEB9922,SAMEA3497846,Leicoma,LE01F25,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/LE01F25_Leicoma_rh.bam
EUD,LR21M03,PRJEB9922,SAMEA3497847,Landrace1,LR21M03_Landrace,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/LR21M03_rh.bam
EUD,LR24F01,PRJEB1683,SAMEA1557416,Landrace2,LR24F01,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/LR24F01_rh.bam
EUD,LR24F08,PRJEB9922,SAMEA3497848,Landrace2,LR24F08_Landrace,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/LR24F08_rh.bam
EUD,LR24M17,PRJEB30282,,Landrace2,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LR24M17_rh.bam
EUD,LR24M18,PRJEB30282,,Landrace2,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LR24M18_rh.bam
EUD,LR24M19,PRJEB30282,,Landrace2,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LR24M19_rh.bam
EUD,LR24M20,PRJEB30282,,Landrace2,,Male,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/LR24M20_rh.bam
