Extraction No.	Mapped Reads	Total Reads	% Mapped	% Mapped-Q30	MT_reads	Duplicates	ReadLen (Mapped)	SD ReadLen (Mapped)	ReadLen (All)	SD ReadLen (All)	P5	P8	Pool	Species	Path
AA200	267	6984	3.823024055	2.119129439	149	0.2322	53.71707317	18.77649634	62.64403352	12.89480909	4	34	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA200_trim_adRm.fq.gz
AA202	613	4101	14.94757376	12.28968544	89	0.8059	56.03361345	13.51078212	65.15109509	11.81265118	6	34	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA202_trim_adRm.fq.gz
AA206	33	19982	0.165148634	0.055049545	3	0.5152	30.5625	20.17909397	62.70778863	12.4472786	9	34	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA206_trim_adRm.fq.gz
AA211	6903	43237	15.96549252	8.710132525	454	0.8296	43.00340136	13.23657044	60.76491602	14.0464518	1	35	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA211_trim_adRm.fq.gz
AA213	13120	69675	18.83028346	11.52924291	1126	0.8658	49.42873367	14.54322136	63.11048426	12.87906215	3	35	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA213_trim_adRm.fq.gz
AA216	8560	86059	9.946664498	5.712360125	690	0.8829	49.33333333	16.20432308	66.72167234	10.42315026	6	35	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA216_trim_adRm.fq.gz
AA217	4283	28131	15.2251964	9.629945612	343	0.8543	48.23237179	16.29608202	63.34721314	13.4205081	7	35	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA217_trim_adRm.fq.gz
AA218	716	4037	17.73594253	10.18082735	145	0.7221	54.24120603	14.98895589	63.00539773	12.30992338	8	35	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA218_trim_adRm.fq.gz
AA219	10611	205316	5.168131076	2.932552748	691	0.8956	44.57129964	16.35423604	63.75306032	12.55832622	9	35	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA219_trim_adRm.fq.gz
AA221	330	24366	1.35434622	0.710005746	191	0.103	54.36486486	16.37718489	63.80840046	12.58584066	11	35	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA221_trim_adRm.fq.gz
AA225	119	51388	0.231571573	0.122596715	55	0.1765	50.37755102	19.7324973	70.66618646	9.159810895	2	36	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA225LB_trim_adRm.fq.gz
AA237	274	19263	1.422416031	0.498364741	37	0.4672	29.63013699	19.19303527	61.05670238	14.75110298	1	37	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA237_trim_adRm.fq.gz
AA240	7206	673802	1.069453638	0.779309055	1120	0.786	53.47405966	18.69982948	67.3396469	9.514911202	3	37	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA240_trim_adRm.fq.gz
AA254	5415	322000	1.681677019	1.124223602	598	0.7584	41.39449541	14.52213677	59.41361087	12.2626237	4	38	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA254_trim_adRm.fq.gz
AA255	1202	9806	12.25780135	8.555986131	60	0.9168	38.1	13.37153618	63.8872932	12.94208116	5	38	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA255_trim_adRm.fq.gz
AA263	4270	144619	2.95258576	2.115213077	167	0.8372	52.6028777	19.97737893	58.70006523	12.46156191	13	1	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA263_trim_adRm.fq.gz
AA268	335	6074	5.515311162	2.782351004	58	0.7194	40.95744681	15.64107832	56.35282016	15.1455552	5	39	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA268_trim_adRm.fq.gz
AA273	183	80173	0.228256396	0.036171779	9	0.4481	22.03960396	7.537799138	62.04452435	13.92990193	10	39	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA273_trim_adRm.fq.gz
AA274	3238	149045	2.172498239	1.142607937	461	0.7054	37.07651992	14.11069319	54.68352628	14.19863349	11	39	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA274_trim_adRm.fq.gz
AA276	1478	960868	0.153819255	0.034968383	106	0.3146	25.4165844	11.78438545	60.5721192	13.51757414	12	39	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA276_trim_adRm.fq.gz
AA277	1434	120153	1.193478315	0.506853761	135	0.5042	28.39240506	13.27347875	50.55770744	13.59844716	13	39	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA277_trim_adRm.fq.gz
AA278	562	134572	0.417620307	0.091400886	20	0.3737	22.00284091	6.498519919	54.13554428	13.95539633	1	40	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA278_trim_adRm.fq.gz
AA305	863	129630	0.665740955	0.259970686	128	0.679	35.5631769	14.91037772	67.43249589	11.20036707	2	42	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA305_trim_adRm.fq.gz
AA308	1474	57653	2.556675281	1.418833365	170	0.8175	40.866171	15.70877478	66.38818027	11.70596911	5	42	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA308_trim_adRm.fq.gz
