Extraction No.	Mapped Reads	Total Reads	% Mapped	% Mapped-Q30	MT_reads	Duplicates	ReadLen (Mapped)	SD ReadLen (Mapped)	ReadLen (All)	SD ReadLen (All)	P5	P8	Pool	Species	Path
AA091	982786	7332266	13.4035781	8.040761205	916	0.0236	45.89738382	14.54341131	46.76916919	15.05930737	8	26	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA091_trim_adRm.fq.gz
AA171	2731	37462	7.290053921	0.421760718	0	0.6888	23.17411765	12.02168391	59.67134145	16.11765576	1	32	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA171_trim_adRm.fq.gz
AA172	250	102407	0.244123937	0.041012821	0	0.32	23.33529412	12.46436061	67.56224652	11.74273016	2	32	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA172_trim_adRm.fq.gz
AA173	1969	203861	0.965854185	0.340428037	8	0.1056	37.26859739	17.50311585	57.92781349	14.64970277	3	32	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA173_trim_adRm.fq.gz
AA174	667	95362	0.699440029	0.088085401	2	0.3208	21.45916115	9.407737176	59.71138647	13.43993754	4	32	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA174_trim_adRm.fq.gz
AA175	115	35360	0.325226244	0.067873303	0	0.2609	28.91764706	18.69186974	73.14053213	6.640673027	5	32	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA175_trim_adRm.fq.gz
AA176	3705	81828	4.527789999	0.926333284	13	0.4696	34.84020356	17.01176399	58.40561632	16.00942625	6	32	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA176_trim_adRm.fq.gz
AA177	7459	212187	3.515295471	0.157408324	7	0.6483	24.75409836	17.63978057	69.83036976	10.69908884	7	32	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA177_trim_adRm.fq.gz
AA178	1592	40338	3.946650801	0.138826913	0	0.4887	19.61056511	8.423999945	65.97537917	13.69851946	8	32	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA178_trim_adRm.fq.gz
AA179	2385	163997	1.454294896	0.701842107	2	0.0256	43.18975904	15.39030611	57.99432095	14.41560836	9	32	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA179_trim_adRm.fq.gz
AA180	1271	108740	1.168843112	0.023910245	0	0.609	17.722334	2.856685033	68.82089732	11.22797187	10	32	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA180_trim_adRm.fq.gz
AA181	1014	67294	1.506820816	0.11739531	1	0.5454	22.09544469	10.45089974	59.78756686	14.09611263	11	32	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA181_trim_adRm.fq.gz
AA182	2109	74763	2.820914089	0.171207683	0	0.624	25.26481715	15.32313513	67.17393495	12.72636496	12	32	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA182_trim_adRm.fq.gz
AA183	1860	129609	1.435085526	0.109560293	0	0.5059	26.01196953	15.35799623	61.54489073	13.20162602	13	32	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA183_trim_adRm.fq.gz
AA371	7678	605359	1.268338292	0.38704306	10	0.1615	33.99875738	17.06418077	48.48437311	12.8071216	1	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA371_trim_adRm.fq.gz
AA372	3063	206809	1.481076742	0.604905976	3	0.0163	34.13408563	14.57596565	57.3517235	17.86727935	2	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA372_trim_adRm.fq.gz
AA373	1464	797127	0.183659567	0.057205439	0	0.0027	29.7390411	14.69221758	53.08754358	12.65690828	3	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA373_trim_adRm.fq.gz
AA375	132	8897	1.483646173	0.696864111	0	0	39	16.07283042	55.23659661	15.71572926	4	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA375_trim_adRm.fq.gz
AA376	1840	122294	1.504570952	0.687687049	4	0.0288	38.6144376	15.11307413	52.03808051	15.13594314	5	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA376_trim_adRm.fq.gz
AA377	7693	917527	0.838449441	0.35497593	26	0.1166	38.75794585	15.74291632	55.71989898	14.69018284	6	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA377_trim_adRm.fq.gz
AA378	25564	1058875	2.414260418	1.342745839	90	0.0109	42.8137631	14.22303249	49.58972167	13.4782734	7	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA378_trim_adRm.fq.gz
AA379	3156	175035	1.803067958	0.610163682	2	0.1505	35.24878777	15.75032644	48.35686297	12.62236643	8	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA379_trim_adRm.fq.gz
AA380	43112	867894	4.967426898	2.77660636	30	0.0134	43.94162592	13.23542917	47.51500372	12.48224537	9	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA380_trim_adRm.fq.gz
AA381	4555	335135	1.359153774	0.295403345	2	0.088	25.26336062	9.9669558	44.70168552	13.09067301	10	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA381_trim_adRm.fq.gz
AA382	12134	389743	3.113333658	1.572831327	15	0.0206	39.04577583	12.60426714	44.30174355	11.56284959	11	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA382_trim_adRm.fq.gz
AA383	0	0	0	0	0	0	0	0	0	0	12	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA383_trim_adRm.fq.gz
AA384	4683	1082458	0.432626485	0.102636777	2	0.0182	25.42496738	11.22405755	47.59914281	11.52596878	12	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA384_trim_adRm.fq.gz
AA385	10524	492531	2.136718298	0.996282467	7	0.0123	38.44117364	13.23475804	45.13084837	11.57327164	13	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA385_trim_adRm.fq.gz
AA371	7678	605359	1.268338292	0.38704306	10	0.1615	33.99875738	17.06418077	48.48437311	12.8071216	1	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA371_trim_adRm.fq.gz
AA372	3063	206809	1.481076742	0.604905976	3	0.0163	34.13408563	14.57596565	57.3517235	17.86727935	2	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA372_trim_adRm.fq.gz
AA373	1464	797127	0.183659567	0.057205439	0	0.0027	29.7390411	14.69221758	53.08754358	12.65690828	3	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA373_trim_adRm.fq.gz
AA375	132	8897	1.483646173	0.696864111	0	0	39	16.07283042	55.23659661	15.71572926	4	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA375_trim_adRm.fq.gz
AA376	1840	122294	1.504570952	0.687687049	4	0.0288	38.6144376	15.11307413	52.03808051	15.13594314	5	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA376_trim_adRm.fq.gz
AA377	7693	917527	0.838449441	0.35497593	26	0.1166	38.75794585	15.74291632	55.71989898	14.69018284	6	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA377_trim_adRm.fq.gz
AA378	25564	1058875	2.414260418	1.342745839	90	0.0109	42.8137631	14.22303249	49.58972167	13.4782734	7	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA378_trim_adRm.fq.gz
AA379	3156	175035	1.803067958	0.610163682	2	0.1505	35.24878777	15.75032644	48.35686297	12.62236643	8	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA379_trim_adRm.fq.gz
AA380	43112	867894	4.967426898	2.77660636	30	0.0134	43.94162592	13.23542917	47.51500372	12.48224537	9	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA380_trim_adRm.fq.gz
AA381	4555	335135	1.359153774	0.295403345	2	0.088	25.26336062	9.9669558	44.70168552	13.09067301	10	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA381_trim_adRm.fq.gz
AA382	12134	389743	3.113333658	1.572831327	15	0.0206	39.04577583	12.60426714	44.30174355	11.56284959	11	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA382_trim_adRm.fq.gz
AA383	0	0	0	0	0	0	0	0	0	0	12	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA383_trim_adRm.fq.gz
AA384	4683	1082458	0.432626485	0.102636777	2	0.0182	25.42496738	11.22405755	47.59914281	11.52596878	12	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA384_trim_adRm.fq.gz
AA385	10524	492531	2.136718298	0.996282467	7	0.0123	38.44117364	13.23475804	45.13084837	11.57327164	13	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA385_trim_adRm.fq.gz
AA371	7678	605359	1.268338292	0.38704306	10	0.1615	33.99875738	17.06418077	48.48437311	12.8071216	1	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA371_trim_adRm.fq.gz
AA372	3063	206809	1.481076742	0.604905976	3	0.0163	34.13408563	14.57596565	57.3517235	17.86727935	2	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA372_trim_adRm.fq.gz
AA373	1464	797127	0.183659567	0.057205439	0	0.0027	29.7390411	14.69221758	53.08754358	12.65690828	3	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA373_trim_adRm.fq.gz
AA375	132	8897	1.483646173	0.696864111	0	0	39	16.07283042	55.23659661	15.71572926	4	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA375_trim_adRm.fq.gz
AA376	1840	122294	1.504570952	0.687687049	4	0.0288	38.6144376	15.11307413	52.03808051	15.13594314	5	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA376_trim_adRm.fq.gz
AA377	7693	917527	0.838449441	0.35497593	26	0.1166	38.75794585	15.74291632	55.71989898	14.69018284	6	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA377_trim_adRm.fq.gz
AA378	25564	1058875	2.414260418	1.342745839	90	0.0109	42.8137631	14.22303249	49.58972167	13.4782734	7	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA378_trim_adRm.fq.gz
AA379	3156	175035	1.803067958	0.610163682	2	0.1505	35.24878777	15.75032644	48.35686297	12.62236643	8	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA379_trim_adRm.fq.gz
AA380	43112	867894	4.967426898	2.77660636	30	0.0134	43.94162592	13.23542917	47.51500372	12.48224537	9	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA380_trim_adRm.fq.gz
AA381	4555	335135	1.359153774	0.295403345	2	0.088	25.26336062	9.9669558	44.70168552	13.09067301	10	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA381_trim_adRm.fq.gz
AA382	12134	389743	3.113333658	1.572831327	15	0.0206	39.04577583	12.60426714	44.30174355	11.56284959	11	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA382_trim_adRm.fq.gz
AA383	0	0	0	0	0	0	0	0	0	0	12	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA383_trim_adRm.fq.gz
AA384	4683	1082458	0.432626485	0.102636777	2	0.0182	25.42496738	11.22405755	47.59914281	11.52596878	12	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA384_trim_adRm.fq.gz
AA385	10524	492531	2.136718298	0.996282467	7	0.0123	38.44117364	13.23475804	45.13084837	11.57327164	13	47	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA385_trim_adRm.fq.gz
AA412	11003	185306	5.937746214	1.874736922	57	0.3237	40.53930923	14.23194363	56.34769236	15.73481322	1	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA412_trim_adRm.fq.gz
AA413	858	424020	0.202348946	0.023583793	0	0.4476	28.17932489	19.9992472	73.12459517	6.132685798	2	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA413_trim_adRm.fq.gz
AA414	84943	1323897	6.416133581	4.295953537	87	0.0088	53.97749273	14.31345712	56.74311585	13.40457552	3	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA414_trim_adRm.fq.gz
AA415	2423	1256557	0.192828499	0.089212029	13	0.0768	51.14886008	23.68934142	69.77361623	9.375049962	4	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA415_trim_adRm.fq.gz
AA416	3185	235009	1.355267245	0.51955457	4	0.1639	43.61134059	23.12817272	57.66098334	15.42445787	5	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA416_trim_adRm.fq.gz
AA417	12226	1066880	1.145958308	0.644496101	34	0.0699	51.62548364	18.37631704	55.12215556	13.90563748	6	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA417_trim_adRm.fq.gz
AA418	64906	1467035	4.424297989	2.216920523	122	0.0187	54.91391384	15.65873586	55.84367464	14.11227959	7	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA418_trim_adRm.fq.gz
AA420	18017	652922	2.759441403	1.489917632	56	0.0693	45.94203244	15.55096868	48.33809134	12.47868098	8	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA420_trim_adRm.fq.gz
AA421	1044	145405	0.717994567	0.145111929	0	0.1274	27.41931943	15.30265437	46.76854452	13.19285533	9	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA421_trim_adRm.fq.gz
AA422	3997	254007	1.573578681	0.325187889	15	0.4293	35.61595791	17.34494692	55.92578411	13.8259319	10	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA422_trim_adRm.fq.gz
AA423	5828	1220779	0.477400086	0.159652157	8	0.0357	30.39145907	13.58150071	49.33078043	13.03685188	11	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA423_trim_adRm.fq.gz
AA424	3512	173360	2.025842178	0.562413475	7	0.1575	30.9753295	13.62396071	46.04190224	13.76131928	12	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA424_trim_adRm.fq.gz
AA425	15250	830993	1.835153846	0.920946386	239	0.0186	46.00661499	12.18776792	55.32121236	13.68243407	13	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA425_trim_adRm.fq.gz
AA412	11003	185306	5.937746214	1.874736922	57	0.3237	40.53930923	14.23194363	56.34769236	15.73481322	1	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA412_trim_adRm.fq.gz
AA413	858	424020	0.202348946	0.023583793	0	0.4476	28.17932489	19.9992472	73.12459517	6.132685798	2	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA413_trim_adRm.fq.gz
AA414	84943	1323897	6.416133581	4.295953537	87	0.0088	53.97749273	14.31345712	56.74311585	13.40457552	3	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA414_trim_adRm.fq.gz
AA415	2423	1256557	0.192828499	0.089212029	13	0.0768	51.14886008	23.68934142	69.77361623	9.375049962	4	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA415_trim_adRm.fq.gz
AA416	3185	235009	1.355267245	0.51955457	4	0.1639	43.61134059	23.12817272	57.66098334	15.42445787	5	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA416_trim_adRm.fq.gz
AA417	12226	1066880	1.145958308	0.644496101	34	0.0699	51.62548364	18.37631704	55.12215556	13.90563748	6	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA417_trim_adRm.fq.gz
AA418	64906	1467035	4.424297989	2.216920523	122	0.0187	54.91391384	15.65873586	55.84367464	14.11227959	7	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA418_trim_adRm.fq.gz
AA420	18017	652922	2.759441403	1.489917632	56	0.0693	45.94203244	15.55096868	48.33809134	12.47868098	8	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA420_trim_adRm.fq.gz
AA421	1044	145405	0.717994567	0.145111929	0	0.1274	27.41931943	15.30265437	46.76854452	13.19285533	9	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA421_trim_adRm.fq.gz
AA422	3997	254007	1.573578681	0.325187889	15	0.4293	35.61595791	17.34494692	55.92578411	13.8259319	10	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA422_trim_adRm.fq.gz
AA423	5828	1220779	0.477400086	0.159652157	8	0.0357	30.39145907	13.58150071	49.33078043	13.03685188	11	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA423_trim_adRm.fq.gz
AA424	3512	173360	2.025842178	0.562413475	7	0.1575	30.9753295	13.62396071	46.04190224	13.76131928	12	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA424_trim_adRm.fq.gz
AA425	15250	830993	1.835153846	0.920946386	239	0.0186	46.00661499	12.18776792	55.32121236	13.68243407	13	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA425_trim_adRm.fq.gz
AA412	11003	185306	5.937746214	1.874736922	57	0.3237	40.53930923	14.23194363	56.34769236	15.73481322	1	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA412_trim_adRm.fq.gz
AA413	858	424020	0.202348946	0.023583793	0	0.4476	28.17932489	19.9992472	73.12459517	6.132685798	2	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA413_trim_adRm.fq.gz
AA414	84943	1323897	6.416133581	4.295953537	87	0.0088	53.97749273	14.31345712	56.74311585	13.40457552	3	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA414_trim_adRm.fq.gz
AA415	2423	1256557	0.192828499	0.089212029	13	0.0768	51.14886008	23.68934142	69.77361623	9.375049962	4	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA415_trim_adRm.fq.gz
AA416	3185	235009	1.355267245	0.51955457	4	0.1639	43.61134059	23.12817272	57.66098334	15.42445787	5	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA416_trim_adRm.fq.gz
AA417	12226	1066880	1.145958308	0.644496101	34	0.0699	51.62548364	18.37631704	55.12215556	13.90563748	6	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA417_trim_adRm.fq.gz
AA418	64906	1467035	4.424297989	2.216920523	122	0.0187	54.91391384	15.65873586	55.84367464	14.11227959	7	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA418_trim_adRm.fq.gz
AA420	18017	652922	2.759441403	1.489917632	56	0.0693	45.94203244	15.55096868	48.33809134	12.47868098	8	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA420_trim_adRm.fq.gz
AA421	1044	145405	0.717994567	0.145111929	0	0.1274	27.41931943	15.30265437	46.76854452	13.19285533	9	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA421_trim_adRm.fq.gz
AA422	3997	254007	1.573578681	0.325187889	15	0.4293	35.61595791	17.34494692	55.92578411	13.8259319	10	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA422_trim_adRm.fq.gz
AA423	5828	1220779	0.477400086	0.159652157	8	0.0357	30.39145907	13.58150071	49.33078043	13.03685188	11	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA423_trim_adRm.fq.gz
AA424	3512	173360	2.025842178	0.562413475	7	0.1575	30.9753295	13.62396071	46.04190224	13.76131928	12	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA424_trim_adRm.fq.gz
AA425	15250	830993	1.835153846	0.920946386	239	0.0186	46.00661499	12.18776792	55.32121236	13.68243407	13	50	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA425_trim_adRm.fq.gz
AA124	7462	311365	2.396544249	0.233488029	0	0.5147	22.17591825	10.03767681	51.35365695	16.24153622	1	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA124_trim_adRm.fq.gz
AA126	5003	897018	0.557736857	0.26086433	18	0.0526	39.27700422	17.98363476	64.32520477	15.14743424	2	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA126_trim_adRm.fq.gz
AA128	6953	498796	1.393956648	0.504214148	6	0.2987	44.14438064	21.51537247	60.90212172	12.94841957	4	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA128_trim_adRm.fq.gz
AA129	15757	246528	6.39156607	3.754948728	5	0.0426	48.76773167	15.55386916	53.27827152	15.14356047	5	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA129_trim_adRm.fq.gz
AA130	3354	424037	0.790968713	0.087964022	0	0.4299	20.333159	5.579114531	50.5057987	13.76399406	6	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA130_trim_adRm.fq.gz
AA131	2280	310295	0.73478464	0.092170354	6	0.3018	25.25942211	14.04508899	53.15258699	14.11583836	7	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA131_trim_adRm.fq.gz
AA132	1010	70269	1.437333675	0.196388165	0	0.2149	25.03152585	14.3829397	54.08393765	15.25120318	8	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA132_trim_adRm.fq.gz
AA133	774556	2431159	31.85953695	21.98576893	326	0.0195	55.27300546	13.8873433	57.61308155	14.04364405	9	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA133_trim_adRm.fq.gz
AA134	3901	153971	2.533593988	0.849510622	6	0.2528	39.19313894	17.43211426	59.22908128	16.78685067	10	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA134_trim_adRm.fq.gz
AA135	520	68308	0.761257832	0.127364291	0	0.05	21.72267206	8.12915596	48.12651943	14.3956799	11	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA135_trim_adRm.fq.gz
AA136	12454	782009	1.592564791	0.606003256	7	0.0055	32.61937828	15.51826919	45.70723201	13.30280441	12	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA136_trim_adRm.fq.gz
AA137	1852	66854	2.770215694	1.145780357	4	0.013	35.88949672	13.96989645	46.4759988	14.51789969	13	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA137_trim_adRm.fq.gz
AA124	7462	311365	2.396544249	0.233488029	0	0.5147	22.17591825	10.03767681	51.35365695	16.24153622	1	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA124_trim_adRm.fq.gz
AA126	5003	897018	0.557736857	0.26086433	18	0.0526	39.27700422	17.98363476	64.32520477	15.14743424	2	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA126_trim_adRm.fq.gz
AA128	6953	498796	1.393956648	0.504214148	6	0.2987	44.14438064	21.51537247	60.90212172	12.94841957	4	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA128_trim_adRm.fq.gz
AA129	15757	246528	6.39156607	3.754948728	5	0.0426	48.76773167	15.55386916	53.27827152	15.14356047	5	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA129_trim_adRm.fq.gz
AA130	3354	424037	0.790968713	0.087964022	0	0.4299	20.333159	5.579114531	50.5057987	13.76399406	6	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA130_trim_adRm.fq.gz
AA131	2280	310295	0.73478464	0.092170354	6	0.3018	25.25942211	14.04508899	53.15258699	14.11583836	7	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA131_trim_adRm.fq.gz
AA132	1010	70269	1.437333675	0.196388165	0	0.2149	25.03152585	14.3829397	54.08393765	15.25120318	8	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA132_trim_adRm.fq.gz
AA133	774556	2431159	31.85953695	21.98576893	326	0.0195	55.27300546	13.8873433	57.61308155	14.04364405	9	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA133_trim_adRm.fq.gz
AA134	3901	153971	2.533593988	0.849510622	6	0.2528	39.19313894	17.43211426	59.22908128	16.78685067	10	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA134_trim_adRm.fq.gz
AA135	520	68308	0.761257832	0.127364291	0	0.05	21.72267206	8.12915596	48.12651943	14.3956799	11	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA135_trim_adRm.fq.gz
AA136	12454	782009	1.592564791	0.606003256	7	0.0055	32.61937828	15.51826919	45.70723201	13.30280441	12	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA136_trim_adRm.fq.gz
AA137	1852	66854	2.770215694	1.145780357	4	0.013	35.88949672	13.96989645	46.4759988	14.51789969	13	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA137_trim_adRm.fq.gz
AA124	7462	311365	2.396544249	0.233488029	0	0.5147	22.17591825	10.03767681	51.35365695	16.24153622	1	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA124_trim_adRm.fq.gz
AA126	5003	897018	0.557736857	0.26086433	18	0.0526	39.27700422	17.98363476	64.32520477	15.14743424	2	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA126_trim_adRm.fq.gz
AA128	6953	498796	1.393956648	0.504214148	6	0.2987	44.14438064	21.51537247	60.90212172	12.94841957	4	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA128_trim_adRm.fq.gz
AA129	15757	246528	6.39156607	3.754948728	5	0.0426	48.76773167	15.55386916	53.27827152	15.14356047	5	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA129_trim_adRm.fq.gz
AA130	3354	424037	0.790968713	0.087964022	0	0.4299	20.333159	5.579114531	50.5057987	13.76399406	6	29	OXF04	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA130_trim_adRm.fq.gz
